"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"335-PROINNOVATE-IMTEMDCC-2024","OPTIMIZACIÓN DEL ECOMMERCE DE LOU BOTANICALS PARA PROMOVER LA ECONOMÍA CIRCULAR Y PRODUCCIÓN SOSTENIBLE DE GUA SHAS DE PIEDRA DE HUAMANGA\, MOSTRANDO LA TRAZABILIDAD DEL CICLO DE VIDA DE LOS RESIDUOS GENERADOS DURANTE SU ELABORACIÓN",20240502,20250402,"LOU  BOTANICALS & CO S.A.C.","SAN ISIDRO","LIMA","LIMA",150131,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","Startup Perú PLUG - Atracción de Emprendedores Extranjeros",2024,"336-PROINNOVATE-AEE-2024","SIPEC PLUS\, APLICACIÓN MULTIPLATAFORMA PARA EL CICLO DE INSPECCIÓN DE OPERACIONES Y PROCESOS INDUSTRIALES",20240520,20250520,"SIPEC PLUS S.A.C.","SANTIAGO DE SURCO","LIMA","LIMA",150140,147840.0000,26950.0000,38225.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DE CALIDAD",2024,"337-PROINNOVATE-IMTEMC-2024","IMPLEMENTACIÓN Y CERTIFICACIÓN HACCP PARA LA LÍNEA DE PROCESAMIENTO PRIMARIO DE FRUTAS\, LEGUMBRES Y HORTALIZAS DE LA EMPRESA BAYAS PERUANAS E.I.R.L. EN EL DISTRITO Y PROVINCIA DE AMBO\, DEPARTAMENTO DE HUÁNUCO - 2023",20240502,20250602,"EMPRESA BAYAS PERUANAS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","AMBO","AMBO","HUANUCO",100201,42000.0000,15292.0000,6858.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"338-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE SISTEMAS DE SENSORES IOT EN LAS INSTALACIONES DE PRODUCCIÓN PARA MONITOREAR EN TIEMPO REAL EL CONSUMO DE RECURSOS COMO ENERGÍA\, AGUA Y EFECTIVIDAD DE LA CAL COMERCIALIZADA Y TRANSFORMACIÓN DIGITAL PARA LA GESTIÓN Y ASESORAMIENTO.",20240620,20250420,"INVERSIONES Y SERVICIOS GENERALES PENCASPAMPA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","BAMBAMARCA","HUALGAYOC","CAJAMARCA",060701,45000.0000,10286.0000,6857.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"339-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN  SISTEMA CON  TECNOLOGÍA  IOT UTILIZANDO ALGORITMO DE APRENDIZAJE AUTOMÁTICO PARA RECONOCIMIENTO DE SONIDOS DE MOTOSIERRAS APLICADO A LA PREVENCIÓN DE TALA ILEGAL EN LA AMAZONÍA.",20240620,20250420,"RUWAY TEC SAC","SAN MARTIN DE PORRES","LIMA","LIMA",150135,44970.0000,10278.0000,6852.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"340-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN SISTEMA DE CONTROL PARA LA PRODUCCIÓN ORGÁNICA Y ECONOMÍA CIRCULAR DEL CACAO\, JUNTO CON UNA PLATAFORMA WEB  PARA POTENCIAR LA VENTA DE PRODUCTOS E IMPULSAR ECOTURISMO  DE LA CULTURA DE PRODUCTORES INDÍGENAS DE LA COOPERATIVA  YAKATHEO",20240620,20250420,"COOPERATIVA AGRARIA YAKATHEO DEL AMAZONAS COOPAYAKAT","IMAZA","BAGUA","AMAZONAS",010205,44900.0000,10260.0000,6840.0000,"SOLES",20250331
"BID 4","INCUBADORAS SOFTLANDING - Acompañamiento",2024,"341-PROINNOVATE-AEE-2024","EMPRENDE UP\, ACOMPAÑAMIENTO A PROYECTOS DE PLUG 4G",20240401,20250701,"UNIVERSIDAD DEL PACIFICO","JESUS MARIA","LIMA","LIMA",150113,30000.0000,0.0000,0.0000,"DOLARES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"342-PROINNOVATE-IMTEMDCC-2024","SOSTENIBILIDAD EN LA HOTELERÍA: INICIATIVAS DE HOTELES HACIENDA DEL PERÚ PARA HACER FRENTE AL CAMBIO CLIMÁTICO",20240620,20250520,"HHP HOTELES HACIENDA DEL PERU S.R.L.","MIRAFLORES","LIMA","LIMA",150122,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","RED DE EMPRENDIMIENTO FEMENINO",2024,"344-PROINNOVATE-REF-2024","WISE PERU: RED DE MUJERES EMPRENDEDORAS EN STEM",20240522,20250522,"UNIVERSIDAD DE PIURA","PIURA","PIURA","PIURA",200101,116830.5400,21029.4600,21029.4500,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"345-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE TECNOLOGÍAS DIGITALES PARA LA SOSTENIBILIDAD Y EFICIENCIA EN PROJECTS SERVICES INNOVATION S.A.C.",20240530,20250430,"PROJECTS SERVICES INNOVATION S.A.C.","TRUJILLO","TRUJILLO","LA LIBERTAD",130101,45000.0000,10286.0000,6857.0000,"SOLES",20250331
